_index,_type,_id,_score,_source.id,_source.twittos_a,_source.interaction,_source.twittos_b,_source.source
"twitter_interaction","_doc","48867817756659591832866817","1","48867817756659591832866817","48867817","follow","756659591832866817",""
"twitter_interaction","_doc","1240360915515645957756659591832866817","1","1240360915515645957756659591832866817","1240360915515645957","follow","756659591832866817",""
"twitter_interaction","_doc","17933848756659591832866817","1","17933848756659591832866817","17933848","follow","756659591832866817",""
"twitter_interaction","_doc","739579953914646529756659591832866817","1","739579953914646529756659591832866817","739579953914646529","follow","756659591832866817",""
"twitter_interaction","_doc","1240467836885020672756659591832866817","1","1240467836885020672756659591832866817","1240467836885020672","follow","756659591832866817",""
"twitter_interaction","_doc","1678387254756659591832866817","1","1678387254756659591832866817","1678387254","follow","756659591832866817",""
"twitter_interaction","_doc","1088180966160363521756659591832866817","1","1088180966160363521756659591832866817","1088180966160363521","follow","756659591832866817",""
"twitter_interaction","_doc","1230975835164770306756659591832866817","1","1230975835164770306756659591832866817","1230975835164770306","follow","756659591832866817",""
"twitter_interaction","_doc","444865959756659591832866817","1","444865959756659591832866817","444865959","follow","756659591832866817",""
"twitter_interaction","_doc","2817799855756659591832866817","1","2817799855756659591832866817","2817799855","follow","756659591832866817",""
"twitter_interaction","_doc","14118735756659591832866817","1","14118735756659591832866817","14118735","follow","756659591832866817",""
"twitter_interaction","_doc","1221283497261748224756659591832866817","1","1221283497261748224756659591832866817","1221283497261748224","follow","756659591832866817",""
"twitter_interaction","_doc","860257290519183360756659591832866817","1","860257290519183360756659591832866817","860257290519183360","follow","756659591832866817",""
"twitter_interaction","_doc","328477056756659591832866817","1","328477056756659591832866817","328477056","follow","756659591832866817",""
"twitter_interaction","_doc","75665959183286681745655109","1","75665959183286681745655109","756659591832866817","follow","45655109",""
"twitter_interaction","_doc","7566595918328668172317513413","1","7566595918328668172317513413","756659591832866817","follow","2317513413",""
"twitter_interaction","_doc","75665959183286681748867817","1","75665959183286681748867817","756659591832866817","follow","48867817",""
"twitter_interaction","_doc","75665959183286681717933848","1","75665959183286681717933848","756659591832866817","follow","17933848",""
"twitter_interaction","_doc","756659591832866817739579953914646529","1","756659591832866817739579953914646529","756659591832866817","follow","739579953914646529",""
